pattern,corr_with_stim
Pattern2,0.7484908812876252
Pattern7,0.3680835493928597
Pattern6,0.002745506097073347
Pattern1,-0.022634958039098495
Pattern3,-0.10525463215238122
Pattern5,-0.12608100313619078
Pattern4,-0.2611996858950047
