K,seed,n_iter,status,runtime_sec,ifn_pattern,ifn_corr,top_genes,result_path,metrics_path
7,1,20000,ok,27646.336188554764,Pattern5,0.7587147803534228,"['ISG15', 'ISG20', 'IFI6', 'IFIT3', 'LY6E', 'IFIT1', 'MX1', 'FTH1', 'IFIT2', 'IRF7', 'SAT1', 'TNFSF10', 'OAS1', 'PLSCR1', 'BST2', 'MT2A', 'EPSTI1', 'RSAD2', 'IFITM2', 'OASL', 'IFI35', 'DYNLT1', 'GBP1', 'SAMD9L', 'DNAJA1', 'HSPA8', 'NT5C3A', 'SOCS1', 'IFITM3', 'DDX58', 'CARD16', 'CMPK2', 'LAP3', 'CD48', 'SELL', 'GBP4', 'CD74', 'CLIC1', 'PLAC8', 'TYMP', 'CREM', 'CXCL10', 'CLEC2D', 'HSP90AA1', 'CD69', 'APOBEC3G', 'CTSS', 'IFIH1', 'CLEC2B', 'CASP1']",results_cogaps_singleprocess_hpc/runs/cogaps_K7_seed1_iter20000.h5ad,results_cogaps_singleprocess_hpc/runs/cogaps_K7_seed1_iter20000.metrics.json
7,2,20000,ok,27895.962193965912,Pattern3,0.7460441466649463,"['ISG15', 'ISG20', 'IFI6', 'IFIT3', 'LY6E', 'IFIT1', 'MX1', 'FTH1', 'IFIT2', 'IRF7', 'SAT1', 'TNFSF10', 'OAS1', 'PLSCR1', 'BST2', 'MT2A', 'EPSTI1', 'RSAD2', 'IFITM2', 'OASL', 'DYNLT1', 'IFI35', 'HSPA8', 'GBP1', 'SAMD9L', 'DNAJA1', 'SOCS1', 'NT5C3A', 'SELL', 'DDX58', 'CMPK2', 'IFITM3', 'CARD16', 'CD48', 'LAP3', 'GBP4', 'CREM', 'PLAC8', 'CLEC2D', 'CD74', 'CCR7', 'HSP90AA1', 'CXCL10', 'TYMP', 'CLIC1', 'CD69', 'APOBEC3G', 'CTSS', 'IFIH1', 'HSP90AB1']",results_cogaps_singleprocess_hpc/runs/cogaps_K7_seed2_iter20000.h5ad,results_cogaps_singleprocess_hpc/runs/cogaps_K7_seed2_iter20000.metrics.json
7,3,20000,ok,28212.605680942535,Pattern3,0.7460441466649463,"['ISG15', 'ISG20', 'IFI6', 'IFIT3', 'LY6E', 'IFIT1', 'MX1', 'FTH1', 'IFIT2', 'IRF7', 'SAT1', 'TNFSF10', 'OAS1', 'PLSCR1', 'BST2', 'MT2A', 'EPSTI1', 'RSAD2', 'IFITM2', 'OASL', 'DYNLT1', 'IFI35', 'HSPA8', 'GBP1', 'SAMD9L', 'DNAJA1', 'SOCS1', 'NT5C3A', 'SELL', 'DDX58', 'CMPK2', 'IFITM3', 'CARD16', 'CD48', 'LAP3', 'GBP4', 'CREM', 'PLAC8', 'CLEC2D', 'CD74', 'CCR7', 'HSP90AA1', 'CXCL10', 'TYMP', 'CLIC1', 'CD69', 'APOBEC3G', 'CTSS', 'IFIH1', 'HSP90AB1']",results_cogaps_singleprocess_hpc/runs/cogaps_K7_seed3_iter20000.h5ad,results_cogaps_singleprocess_hpc/runs/cogaps_K7_seed3_iter20000.metrics.json
7,4,20000,ok,28718.098849773407,Pattern3,0.7509946918105544,"['ISG15', 'ISG20', 'IFI6', 'IFIT3', 'LY6E', 'IFIT1', 'MX1', 'FTH1', 'IFIT2', 'IRF7', 'SAT1', 'TNFSF10', 'OAS1', 'PLSCR1', 'BST2', 'MT2A', 'EPSTI1', 'RSAD2', 'OASL', 'IFITM2', 'DYNLT1', 'IFI35', 'GBP1', 'SAMD9L', 'SOCS1', 'NT5C3A', 'DNAJA1', 'CARD16', 'IFITM3', 'DDX58', 'CMPK2', 'HSPA8', 'SELL', 'CD48', 'GBP4', 'LAP3', 'CD74', 'CLIC1', 'PLAC8', 'CLEC2D', 'CREM', 'CXCL10', 'TYMP', 'ANXA1', 'APOBEC3G', 'CD69', 'CTSS', 'HSP90AA1', 'IFIH1', 'CLEC2B']",results_cogaps_singleprocess_hpc/runs/cogaps_K7_seed4_iter20000.h5ad,results_cogaps_singleprocess_hpc/runs/cogaps_K7_seed4_iter20000.metrics.json
7,5,20000,ok,28656.2220890522,Pattern3,0.7509946918105544,"['ISG15', 'ISG20', 'IFI6', 'IFIT3', 'LY6E', 'IFIT1', 'MX1', 'FTH1', 'IFIT2', 'IRF7', 'SAT1', 'TNFSF10', 'OAS1', 'PLSCR1', 'BST2', 'MT2A', 'EPSTI1', 'RSAD2', 'OASL', 'IFITM2', 'DYNLT1', 'IFI35', 'GBP1', 'SAMD9L', 'SOCS1', 'NT5C3A', 'DNAJA1', 'CARD16', 'IFITM3', 'DDX58', 'CMPK2', 'HSPA8', 'SELL', 'CD48', 'GBP4', 'LAP3', 'CD74', 'CLIC1', 'PLAC8', 'CLEC2D', 'CREM', 'CXCL10', 'TYMP', 'ANXA1', 'APOBEC3G', 'CD69', 'CTSS', 'HSP90AA1', 'IFIH1', 'CLEC2B']",results_cogaps_singleprocess_hpc/runs/cogaps_K7_seed5_iter20000.h5ad,results_cogaps_singleprocess_hpc/runs/cogaps_K7_seed5_iter20000.metrics.json
9,1,2000,ok,2736.4511053562164,Pattern8,0.6836530836728406,"['IFIT3', 'IFIT1', 'MX1', 'ISG15', 'ISG20', 'IFIT2', 'IFI6', 'SAT1', 'TNFSF10', 'HSPA8', 'IRF7', 'EPSTI1', 'RSAD2', 'GBP1', 'OAS1', 'SELL', 'DNAJA1', 'CCR7', 'PLSCR1', 'SOCS1', 'DYNLT1', 'NT5C3A', 'CMPK2', 'MT2A', 'GBP4', 'DDX58', 'IFI35', 'HSP90AB1', 'SAMD9L', 'CD48', 'BST2', 'CREM', 'LY6E', 'PLAC8', 'CLEC2D', 'OASL', 'CXCL10', 'HSP90AA1', 'IFITM2', 'CD69', 'LTB', 'CARD16', 'IFIH1', 'LAP3', 'SRSF7', 'CD74', 'IFITM3', 'CLEC2B', 'GBP5', 'PMAIP1']",results_cogaps_singleprocess_hpc/runs/cogaps_K9_seed1_iter2000.h5ad,results_cogaps_singleprocess_hpc/runs/cogaps_K9_seed1_iter2000.metrics.json
9,2,2000,ok,2939.6153790950775,Pattern6,0.7358241735364119,"['ISG15', 'ISG20', 'IFI6', 'LY6E', 'IFIT3', 'IFIT1', 'MX1', 'FTH1', 'SAT1', 'IFIT2', 'IRF7', 'TNFSF10', 'OAS1', 'MT2A', 'PLSCR1', 'BST2', 'EPSTI1', 'IFITM2', 'RSAD2', 'OASL', 'HSPA8', 'IFI35', 'DYNLT1', 'SOCS1', 'SELL', 'GBP1', 'SAMD9L', 'DNAJA1', 'NT5C3A', 'CARD16', 'CD48', 'CLEC2D', 'PLAC8', 'DDX58', 'CCR7', 'CMPK2', 'CD74', 'IFITM3', 'CREM', 'GBP4', 'CLIC1', 'LAP3', 'TYMP', 'CD69', 'HSP90AA1', 'CTSS', 'CLEC2B', 'APOBEC3G', 'HSP90AB1', 'SEC61B']",results_cogaps_singleprocess_hpc/runs/cogaps_K9_seed2_iter2000.h5ad,results_cogaps_singleprocess_hpc/runs/cogaps_K9_seed2_iter2000.metrics.json
9,3,2000,ok,3017.224263906479,Pattern6,0.7358241735364119,"['ISG15', 'ISG20', 'IFI6', 'LY6E', 'IFIT3', 'IFIT1', 'MX1', 'FTH1', 'SAT1', 'IFIT2', 'IRF7', 'TNFSF10', 'OAS1', 'MT2A', 'PLSCR1', 'BST2', 'EPSTI1', 'IFITM2', 'RSAD2', 'OASL', 'HSPA8', 'IFI35', 'DYNLT1', 'SOCS1', 'SELL', 'GBP1', 'SAMD9L', 'DNAJA1', 'NT5C3A', 'CARD16', 'CD48', 'CLEC2D', 'PLAC8', 'DDX58', 'CCR7', 'CMPK2', 'CD74', 'IFITM3', 'CREM', 'GBP4', 'CLIC1', 'LAP3', 'TYMP', 'CD69', 'HSP90AA1', 'CTSS', 'CLEC2B', 'APOBEC3G', 'HSP90AB1', 'SEC61B']",results_cogaps_singleprocess_hpc/runs/cogaps_K9_seed3_iter2000.h5ad,results_cogaps_singleprocess_hpc/runs/cogaps_K9_seed3_iter2000.metrics.json
9,4,2000,ok,2739.7373485565186,Pattern4,0.6978379677503994,"['ISG15', 'ISG20', 'IFI6', 'LY6E', 'FTH1', 'BST2', 'IFIT3', 'MT2A', 'ANXA1', 'OAS1', 'IFITM2', 'PLSCR1', 'IRF7', 'OASL', 'IFIT1', 'IFI35', 'MX1', 'DYNLT1', 'CARD16', 'HSPA8', 'IFITM3', 'CLEC2D', 'SAT1', 'CD74', 'CD48', 'TYMP', 'SELL', 'PLAC8', 'RSAD2', 'FTL', 'APOBEC3G', 'CLIC1', 'SAMD9L', 'S100A11', 'CCL5', 'PRF1', 'ALOX5AP', 'NKG7', 'TNFSF10', 'CCR7', 'SOCS1', 'GZMB', 'CTSS', 'SEC61B', 'COX5A', 'GNLY', 'CREM', 'IL32', 'CST7', 'HERPUD1']",results_cogaps_singleprocess_hpc/runs/cogaps_K9_seed4_iter2000.h5ad,results_cogaps_singleprocess_hpc/runs/cogaps_K9_seed4_iter2000.metrics.json
9,5,2000,ok,3021.6567907333374,Pattern4,0.6978379677503994,"['ISG15', 'ISG20', 'IFI6', 'LY6E', 'FTH1', 'BST2', 'IFIT3', 'MT2A', 'ANXA1', 'OAS1', 'IFITM2', 'PLSCR1', 'IRF7', 'OASL', 'IFIT1', 'IFI35', 'MX1', 'DYNLT1', 'CARD16', 'HSPA8', 'IFITM3', 'CLEC2D', 'SAT1', 'CD74', 'CD48', 'TYMP', 'SELL', 'PLAC8', 'RSAD2', 'FTL', 'APOBEC3G', 'CLIC1', 'SAMD9L', 'S100A11', 'CCL5', 'PRF1', 'ALOX5AP', 'NKG7', 'TNFSF10', 'CCR7', 'SOCS1', 'GZMB', 'CTSS', 'SEC61B', 'COX5A', 'GNLY', 'CREM', 'IL32', 'CST7', 'HERPUD1']",results_cogaps_singleprocess_hpc/runs/cogaps_K9_seed5_iter2000.h5ad,results_cogaps_singleprocess_hpc/runs/cogaps_K9_seed5_iter2000.metrics.json
9,1,10000,ok,16125.769672632217,Pattern2,0.7338744150959873,"['ISG15', 'ISG20', 'IFI6', 'IFIT3', 'LY6E', 'IFIT1', 'MX1', 'FTH1', 'SAT1', 'IFIT2', 'IRF7', 'TNFSF10', 'OAS1', 'PLSCR1', 'MT2A', 'BST2', 'EPSTI1', 'IFITM2', 'OASL', 'RSAD2', 'IFI35', 'DYNLT1', 'SOCS1', 'SAMD9L', 'GBP1', 'SELL', 'NT5C3A', 'CARD16', 'CD48', 'DNAJA1', 'DDX58', 'CMPK2', 'ANXA1', 'CLEC2D', 'PLAC8', 'CD74', 'CREM', 'IFITM3', 'GBP4', 'CCR7', 'LAP3', 'CLIC1', 'TYMP', 'CD69', 'APOBEC3G', 'CTSS', 'CLEC2B', 'CASP1', 'IFIH1', 'CXCL10']",results_cogaps_singleprocess_hpc/runs/cogaps_K9_seed1_iter10000.h5ad,results_cogaps_singleprocess_hpc/runs/cogaps_K9_seed1_iter10000.metrics.json
