"replicate","condition","cell_type","n_cells","library_size_total_counts","library_size_pattern_genes","TIMP1","FTH1","SOD2","MS4A7","S100A11","TYROBP","FCGR3A","FCER1G","ACTB","SAT1","PSAP","CXCL16","FTL","PFN1","CTSS","ISG15","ISG20","IFI6","IFIT3","LY6E","IFIT1","MX1","IFIT2","IRF7","TNFSF10","OAS1","PLSCR1","BST2","ANXA1","SH3BGRL3","GAPDH","S100A6","VIM","S100A10","EMP3","RGCC","CLIC1","CCL5","ALOX5AP","CD63","C15orf48","LGALS1","CCR7","HSPA8","LTB","ACTG1","SELL","HSP90AB1","HSP90AA1","CREM","CD74","HLA.DRA","HLA.DRB1","HLA.DPA1","HLA.DPB1","HLA.DQB1","HLA.DQA1","HLA.DMA","HERPUD1","CXCL10","APOBEC3A","IFITM3","RSAD2","TYMP","IDO1","TIMP1__cpm","FTH1__cpm","SOD2__cpm","MS4A7__cpm","S100A11__cpm","TYROBP__cpm","FCGR3A__cpm","FCER1G__cpm","ACTB__cpm","SAT1__cpm","PSAP__cpm","CXCL16__cpm","FTL__cpm","PFN1__cpm","CTSS__cpm","ISG15__cpm","ISG20__cpm","IFI6__cpm","IFIT3__cpm","LY6E__cpm","IFIT1__cpm","MX1__cpm","IFIT2__cpm","IRF7__cpm","TNFSF10__cpm","OAS1__cpm","PLSCR1__cpm","BST2__cpm","ANXA1__cpm","SH3BGRL3__cpm","GAPDH__cpm","S100A6__cpm","VIM__cpm","S100A10__cpm","EMP3__cpm","RGCC__cpm","CLIC1__cpm","CCL5__cpm","ALOX5AP__cpm","CD63__cpm","C15orf48__cpm","LGALS1__cpm","CCR7__cpm","HSPA8__cpm","LTB__cpm","ACTG1__cpm","SELL__cpm","HSP90AB1__cpm","HSP90AA1__cpm","CREM__cpm","CD74__cpm","HLA-DRA__cpm","HLA-DRB1__cpm","HLA-DPA1__cpm","HLA-DPB1__cpm","HLA-DQB1__cpm","HLA-DQA1__cpm","HLA-DMA__cpm","HERPUD1__cpm","CXCL10__cpm","APOBEC3A__cpm","IFITM3__cpm","RSAD2__cpm","TYMP__cpm","IDO1__cpm"
"patient_1488","ctrl","B cells",220,45490,20854,26,5667,20,2,62,12,2,3,1054,139,78,13,976,512,69,36,255,4,3,20,2,7,4,16,3,8,10,60,30,233,225,78,171,24,277,62,202,20,134,79,10,70,383,250,177,262,50,378,209,237,2907,2147,877,449,522,361,274,163,462,2,1,0,0,63,2,571.554187733568,124576.830072543,439.65706748736,43.965706748736,1362.93690921082,263.794240492416,43.965706748736,65.948560123104,23169.9274565839,3055.61661903715,1714.6625632007,285.777093866784,21455.2648933832,11255.2209276764,1516.81688283139,791.382721477248,5605.62761046384,87.931413497472,65.948560123104,439.65706748736,43.965706748736,153.879973620576,87.931413497472,351.725653989888,65.948560123104,175.862826994944,219.82853374368,1318.97120246208,659.48560123104,5122.00483622774,4946.1420092328,1714.6625632007,3759.06792701693,527.588480984832,6089.25038469993,1362.93690921082,4440.53638162233,439.65706748736,2945.70235216531,1736.64541657507,219.82853374368,1538.79973620576,8419.43284238294,5495.713343592,3890.96504726314,5759.50758408441,1099.1426687184,8309.5185755111,4594.41635524291,5209.93624972521,63904.1547592878,NA,NA,NA,NA,NA,NA,NA,10156.078258958,43.965706748736,21.982853374368,0,0,1384.91976258518,43.965706748736
"patient_1488","ctrl","CD14+ Monocytes",317,284525,206605,9074,100579,2680,179,2423,2144,157,1889,4545,1991,956,310,46195,2544,316,66,89,25,10,18,3,2,2,87,5,19,122,143,1267,2421,2250,1733,1648,1931,1745,179,816,23,60,1886,3659,1529,39,240,35,700,10,214,355,67,1042,2668,1156,201,324,180,102,85,114,8,63,12,0,1208,62,31891.7494069062,353497.935155083,9419.20745101485,629.11870661629,8515.94763201827,7535.36596081188,551.796854406467,6639.13540110711,15973.9917406203,6997.62762498902,3359.98594148142,1089.53519022933,162358.3164924,8941.21781917231,1110.62296810474,231.96555662947,312.802038485195,87.8657411475266,35.1462964590106,63.2633336262191,10.5438889377032,7.02925929180213,7.02925929180213,305.772779193392,17.5731482295053,66.7779632721202,428.78481679993,502.592039363852,4453.03576135665,8508.91837272647,7907.91670327739,6090.85317634654,5792.10965644495,6786.74984623495,6133.02873209736,629.11870661629,2867.93779105527,80.8364818557245,210.877778754064,6628.59151216941,12860.029874352,5373.86872858273,137.070556190141,843.511115016255,123.012037606537,2460.24075213074,35.1462964590106,752.130744222828,1247.69352429488,235.480186275371,3662.24409102891,NA,NA,NA,NA,NA,NA,NA,400.667779632721,28.1170371672085,221.421667691767,42.1755557508128,0,4245.67261224848,217.907038045866
"patient_1488","ctrl","CD4 T cells",1216,134565,66313,210,33446,136,2,891,24,4,29,2714,320,205,11,2879,1767,143,137,654,39,9,122,5,55,9,85,59,23,13,120,2267,1651,1187,714,1598,695,1253,1476,197,273,313,95,28,88,2257,1130,2055,781,1050,689,590,811,467,67,21,36,59,8,5,9,263,1,1,7,9,50,1,1560.58410433619,248549.028350611,1010.66399137963,14.8627057555828,6621.33541411214,178.352469066994,29.7254115111656,215.509233455951,20168.6917103259,2378.03292089325,1523.42733994724,81.7448816557054,21394.8649351614,13131.2005350574,1062.68346152417,1018.09534425742,4860.10478207558,289.822762233865,66.8821759001226,906.625051090551,37.156764388957,408.724408278527,66.8821759001226,631.664994612269,438.449819789693,170.921116189202,96.6075874112882,891.762345334968,16846.8769739531,12269.1636012336,8821.01586593839,5305.98595474306,11875.3018987107,5164.79025006502,9311.48515587263,10968.6768476201,1463.97651692491,2028.75933563705,2326.01345074871,705.978523390183,208.077880578159,653.959053245643,16772.5634451752,8397.42875190428,15271.4301638613,5803.88659755508,7802.92052168097,5120.20213279828,4384.49819789693,6026.82718388883,3470.44179392858,NA,NA,NA,NA,NA,NA,NA,1954.44580685914,7.4313528777914,7.4313528777914,52.0194701445398,66.8821759001226,371.56764388957,7.4313528777914
"patient_1488","ctrl","CD8 T cells",33,4195,1598,3,490,5,0,12,6,4,4,66,10,8,0,88,62,6,5,14,1,0,3,0,0,1,1,1,0,1,4,108,76,78,23,45,17,26,35,22,206,14,16,1,9,0,20,5,22,3,10,9,6,12,2,8,3,9,0,1,0,15,0,1,0,0,1,0,715.137067938021,116805.721096544,1191.89511323004,0,2860.54827175209,1430.27413587604,953.516090584029,953.516090584029,15733.0154946365,2383.79022646007,1907.03218116806,0,20977.3539928486,14779.4994040524,1430.27413587604,1191.89511323004,3337.3063170441,238.379022646007,0,715.137067938021,0,0,238.379022646007,238.379022646007,238.379022646007,0,238.379022646007,953.516090584029,25744.9344457688,18116.8057210965,18593.5637663886,5482.71752085816,10727.0560190703,4052.44338498212,6197.85458879619,8343.26579261025,5244.33849821216,49106.0786650775,3337.3063170441,3814.06436233611,238.379022646007,2145.41120381406,0,4767.58045292014,1191.89511323004,5244.33849821216,715.137067938021,2383.79022646007,2145.41120381406,1430.27413587604,2860.54827175209,NA,NA,NA,NA,NA,NA,NA,3575.68533969011,0,238.379022646007,0,0,238.379022646007,0
"patient_1488","ctrl","Dendritic cells",46,60676,39139,1349,11573,221,33,353,270,1,157,2213,292,130,119,4404,950,63,56,53,6,0,12,1,6,0,34,0,8,15,57,323,521,633,319,346,569,422,23,140,15,92,307,688,474,273,111,90,269,15,104,114,49,2400,3472,1695,826,907,443,489,190,104,2,1,4,4,211,118,22232.8432988331,190734.392511042,3642.29678950491,543.872371283539,5817.78627463907,4449.86485595623,16.480980947986,2587.51400883381,36472.4108378931,4812.44643681192,2142.52752323818,1961.23673281034,72582.2400949304,15656.9319005867,1038.30179972312,922.934933087217,873.491990243259,98.8858856879161,0,197.771771375832,16.480980947986,98.8858856879161,0,560.353352231525,0,131.847847583888,247.21471421979,939.415914035203,5323.35684619949,8586.59107390072,10432.4609400752,5257.43292240754,5702.41940800316,9377.67815940405,6954.9739600501,379.062561803679,2307.33733271804,247.21471421979,1516.25024721471,5059.66115103171,11338.9148922144,7811.98496934538,4499.30779880019,1829.38888522645,1483.28828531874,4433.38387500824,247.21471421979,1714.02201859055,1878.83182807041,807.568066451315,39554.3542751665,NA,NA,NA,NA,NA,NA,NA,1714.02201859055,32.961961895972,16.480980947986,65.9239237919441,65.9239237919441,3477.48698002505,1944.75575186235
"patient_1488","ctrl","FCGR3A+ Monocytes",76,80300,58547,4272,33025,1180,436,839,634,556,710,2231,824,298,311,6097,724,216,52,56,18,21,30,1,5,5,30,74,66,57,90,334,448,246,369,158,257,372,56,241,10,3,190,292,185,9,167,20,419,11,76,142,31,280,360,193,96,44,35,4,13,45,122,46,48,0,366,1,53200.498132005,411270.236612702,14694.8941469489,5429.63885429639,10448.3188044832,7895.39227895392,6924.03486924035,8841.84308841843,27783.3125778331,10261.5193026152,3711.08343711083,3872.97633872976,75927.7708592777,9016.18929016189,2689.91282689913,647.571606475716,697.384806973848,224.159402241594,261.519302615193,373.59900373599,12.453300124533,62.266500622665,62.266500622665,373.59900373599,921.544209215442,821.917808219178,709.838107098381,1120.79701120797,4159.40224159402,5579.07845579078,3063.51183063512,4595.26774595268,1967.62141967621,3200.49813200498,4632.62764632628,697.384806973848,3001.24533001245,124.53300124533,37.359900373599,2366.12702366127,3636.36363636364,2303.86052303861,112.079701120797,2079.70112079701,249.06600249066,5217.93275217933,136.986301369863,946.450809464508,1768.36861768369,386.052303860523,3486.92403486924,NA,NA,NA,NA,NA,NA,NA,560.398505603985,1519.30261519303,572.851805728518,597.758405977584,0,4557.90784557908,12.453300124533
"patient_1488","ctrl","NK cells",119,15825,4909,26,1140,6,0,47,104,36,86,195,23,18,1,262,264,10,58,64,7,4,26,2,3,7,15,14,5,8,30,129,170,130,74,180,30,92,77,110,717,67,105,8,48,28,61,8,95,14,33,65,66,70,9,3,4,8,0,2,1,28,0,0,6,1,9,0,1642.96998420221,72037.9146919431,379.14691943128,0,2969.98420221169,6571.87993680885,2274.88151658768,5434.43917851501,12322.2748815166,1453.39652448657,1137.44075829384,63.1911532385466,16556.0821484992,16682.4644549763,631.911532385466,3665.0868878357,4044.23380726698,442.338072669826,252.764612954186,1642.96998420221,126.382306477093,189.57345971564,442.338072669826,947.867298578199,884.676145339652,315.955766192733,505.529225908373,1895.7345971564,8151.65876777251,10742.4960505529,8214.84992101106,4676.14533965245,11374.4075829384,1895.7345971564,5813.58609794629,4865.71879936809,6951.02685624013,45308.0568720379,4233.80726698262,6635.07109004739,505.529225908373,3033.17535545024,1769.3522906793,3854.66034755134,505.529225908373,6003.15955766193,884.676145339652,2085.30805687204,4107.42496050553,4170.61611374408,4423.38072669826,NA,NA,NA,NA,NA,NA,NA,1769.3522906793,0,0,379.14691943128,63.1911532385466,568.72037914692,0
"patient_1488","stim","B cells",289,68948,37477,25,3640,113,9,120,14,2,15,1226,587,62,5,953,536,213,3327,3299,1145,1106,733,762,634,607,527,468,341,446,402,61,222,215,80,237,65,256,30,535,31,49,96,19,62,938,423,292,330,249,499,372,443,3421,2515,930,666,660,257,278,85,314,975,21,72,161,266,35,362.592098392992,52793.4095260196,1638.91628473632,130.533155421477,1740.44207228636,203.051575100075,29.0073678714393,217.555259035795,17781.5165051923,8513.66247026745,899.22840401462,72.5184196785984,13822.0107907408,7773.97458954575,3089.28467830829,48253.7564541394,47847.6533039392,16606.718106399,16041.074432906,10631.2003248825,11051.8071590184,9195.33561524627,8803.73614898184,7643.44143412427,6787.72408191681,4945.75622208041,6468.64303533097,5830.48094215931,884.7247200789,3219.81783372977,3118.29204617973,1160.29471485757,3437.37309276556,942.739455821779,3712.94308754424,435.11051807159,7759.47090561002,449.61420200731,710.680512850264,1392.35365782909,275.569994778674,899.22840401462,13604.4555317051,6135.05830480942,4235.07570923014,4786.21569878749,3611.4172999942,7237.33828392412,5395.37042408772,6425.13198352382,49617.102744097,NA,NA,NA,NA,NA,NA,NA,4554.15675581598,14141.0918373267,304.577362650113,1044.26524337182,2335.09311365087,3857.97992690143,507.628937750189
"patient_1488","stim","CD14+ Monocytes",393,482341,327882,7364,80924,6939,563,3431,3504,106,2543,2819,6563,974,223,55701,1407,938,41679,6286,2546,3108,2837,2609,1347,2510,1197,3565,1188,1244,1364,2497,1865,1464,1359,1371,2453,2438,49,1674,79,34,2473,5425,2081,101,569,37,469,79,595,1413,258,2036,3105,1899,533,546,130,130,140,141,21349,8444,4465,3153,4022,3527,15267.2072247642,167773.421707879,14386.0878507114,1167.22401786288,7113.22487617681,7264.57008630823,219.76153799905,5272.20368992062,5844.41297754079,13606.5563574318,2019.31828312335,462.328518620644,115480.541774388,2917.02343362891,1944.68228908594,86409.8220968153,13032.273847755,5278.4233560904,6443.57415189669,5881.73097455949,5409.03634565587,2792.63011023322,5203.78736205299,2481.64680174399,7391.03663176052,2462.98780323464,2579.08823840395,2827.87488519533,5176.83547531725,3866.55913554933,3035.19709085481,2817.50877491235,2842.38743959149,5085.61370482708,5054.51537397816,101.587880773146,3470.57372273972,163.78454247099,70.4895499242237,5127.07814595898,11247.2296570269,4314.37509977381,209.395427716076,1179.66335020245,76.7092160940082,972.341144542969,163.78454247099,1233.56712367392,2929.46276596847,534.891290601463,4221.08010722704,NA,NA,NA,NA,NA,NA,NA,292.324309979869,44261.2176862427,17506.2870458866,9256.93648269585,6536.86914444345,8338.49911162435,7312.25419360992
"patient_1488","stim","CD4 T cells",1529,222698,112057,229,24132,348,19,977,55,13,63,2659,3056,166,8,2522,1917,470,10167,7206,4987,3915,3106,2681,2362,1888,1286,1727,1570,868,893,3485,1730,840,654,1379,792,1504,654,414,257,650,112,100,72,4953,1861,2250,846,2854,1098,955,1315,713,143,80,80,61,27,20,14,384,701,95,177,1096,347,54,1028.29841309756,108361.996964499,1562.65435702162,85.3173355845136,4387.10720347736,246.97123458675,58.3750190841409,282.894323253913,11939.9365957485,13722.6198708565,745.404089843645,35.9230886671636,11324.7537023233,8608.07012186908,2110.48145919586,45653.7553098815,32357.7221169476,22393.5553978931,17579.8615164932,13947.1391750263,12038.7250895832,10606.2919289801,8477.84892545061,5774.63650324655,7754.89676602394,7049.90615093086,3897.65512038725,4009.91477247214,15648.9955006331,7768.36792427413,3771.92431005218,2936.71249854062,6192.24240900233,3556.3857780492,6753.54066942676,2936.71249854062,1859.01983852572,1154.02922343263,2918.75095420704,502.92324134029,449.038608339545,323.307798004472,22240.8822710577,8356.60850119893,10103.3686876398,3798.86662655255,12815.5618820106,4930.4439195682,4288.31870964265,5904.85769966502,3201.64527746096,NA,NA,NA,NA,NA,NA,NA,1724.30825602385,3147.76064446021,426.586677922568,794.798336760995,4921.46314740141,1558.16397093822,242.480848503354
"patient_1488","stim","CD8 T cells",42,7847,3578,9,470,8,0,33,16,2,10,88,64,7,0,90,73,8,395,319,164,132,96,112,76,55,38,33,47,42,48,166,64,81,15,29,20,15,19,28,276,59,17,7,8,12,43,0,38,8,10,28,36,35,8,4,7,13,0,1,0,15,20,9,9,27,15,1,1146.93513444629,59895.5014655282,1019.49789728559,0,4205.42882630305,2038.99579457117,254.874474321397,1274.37237160698,11214.4768701415,8155.98317828469,892.060660124888,0,11469.3513444629,9302.91831273098,1019.49789728559,50337.7086784759,40652.4786542628,20899.7068943545,16821.7153052122,12233.974767427,14272.9705619982,9685.23002421308,7009.04804383841,4842.61501210654,4205.42882630305,5989.55014655282,5352.36396074933,6116.98738371352,21154.5813686759,8155.98317828469,10322.4162100166,1911.55855741048,3695.67987766025,2548.74474321397,1911.55855741048,2421.30750605327,3568.24264049955,35172.6774563527,7518.7969924812,2166.43303173187,892.060660124888,1019.49789728559,1529.24684592838,5479.80119791003,0,4842.61501210654,1019.49789728559,1274.37237160698,3568.24264049955,4587.74053778514,4460.30330062444,NA,NA,NA,NA,NA,NA,NA,1911.55855741048,2548.74474321397,1146.93513444629,1146.93513444629,3440.80540333886,1911.55855741048,127.437237160698
"patient_1488","stim","Dendritic cells",57,86497,53890,1244,7014,295,37,586,407,0,143,1462,616,109,42,4632,614,177,5493,1285,516,583,582,421,510,358,509,624,297,267,384,501,353,478,402,313,672,531,7,319,88,45,341,866,583,630,240,69,235,46,221,474,87,3160,3029,1611,988,1151,243,352,170,195,3388,716,656,393,408,722,14382.0016879198,81089.5175555222,3410.52290830896,427.760500364174,6774.80143820017,4705.36550400592,0,1653.23652843451,16902.3203116871,7121.63427633328,1260.15931188365,485.56597338636,53550.9902077529,7098.51208712441,2046.31374498538,63505.0926621733,14856.0065667017,5965.52481588957,6740.11815438686,6728.55705978242,4867.22082846804,5896.15824826295,4138.8718683885,5884.59715365851,7214.12303316878,3433.64509751783,3086.81225938472,4439.46032810386,5792.10839682301,4081.06639536631,5526.20322092096,4647.56003098373,3618.62261118883,7769.05557418176,6138.94123495613,80.92766223106,3687.98917881545,1017.37632519047,520.249257199672,3942.33326011307,10011.9079274426,6740.11815438686,7283.4896007954,2774.66270506492,797.715527706163,2716.85723204273,531.810351804109,2555.00190758061,5479.95884250321,1005.81523058603,36533.0589500214,NA,NA,NA,NA,NA,NA,NA,2254.41344786524,39168.9885198331,8277.743736777,7584.07806051077,4543.5101795438,4716.92659861036,8347.11030440362
"patient_1488","stim","FCGR3A+ Monocytes",90,108223,73527,3461,22977,1513,970,1260,1086,713,727,1232,2081,364,350,4241,419,315,7226,1614,665,1051,803,1071,397,611,443,1499,380,378,387,625,278,205,245,126,243,439,14,476,7,10,230,601,184,16,310,6,213,21,148,325,60,535,506,302,242,86,29,15,9,54,4748,1177,1383,344,835,246,31980.2629755228,212311.615830276,13980.3923380427,8962.97459874518,11642.62679837,10034.8354785951,6588.24833907765,6717.61085905953,11383.9017584063,19228.814577308,3363.42551952912,3234.06299954723,39187.6033745137,3871.63541945797,2910.65669959251,66769.5406706523,14913.6505179121,6144.71969913974,9711.4291786404,7419.86453896122,9896.23277861453,3668.35145948643,5645.7499792096,4093.39973942692,13851.0298180609,3511.26839950842,3492.78803951101,3575.94965949937,5775.11249919148,2568.77003964037,1894.23689973481,2263.84409968306,1164.262679837,2245.36373968565,4056.4390194321,129.362519981889,4398.32567938423,64.6812599909446,92.4017999870638,2125.24139970247,5553.34817922253,1700.19311976197,147.842879979302,2864.45579959898,55.4410799922383,1968.15833972446,194.043779972834,1367.54663980854,3003.05849957957,554.410799922383,4943.49629930791,NA,NA,NA,NA,NA,NA,NA,498.969719930144,43872.3746338579,10875.6918584774,12779.1689382109,3178.62191955499,7715.55029891982,2273.08427968177
"patient_1488","stim","NK cells",149,30713,12889,19,1679,13,0,70,141,28,126,335,276,14,0,253,229,52,1515,1150,531,583,487,334,239,177,205,197,184,218,241,453,141,128,42,113,39,93,62,167,822,245,85,39,26,26,170,10,127,22,36,101,81,120,10,5,9,6,1,0,0,81,28,12,95,100,90,8,618.630547325237,54667.4046820565,423.273532380425,0,2279.16517435614,4590.88985120307,911.666069742454,4102.49731384104,10907.4333344187,8986.42268746134,455.833034871227,0,8237.55413017289,7456.12607039364,1693.0941295217,49327.6462735649,37443.4278644222,17289.0958226158,18982.1899521375,15856.4777130205,10874.8738319278,7781.72109530166,5763.03194087194,6674.6980106144,6414.22199068798,5990.94845830756,7097.97154299482,7846.84010028327,14749.4546283333,4590.88985120307,4167.61631882265,1367.49910461368,3679.22378146062,1269.82059714128,3028.03373164458,2018.68915442972,5437.43691596392,26763.9110474392,7977.07811024648,2767.55771171816,1269.82059714128,846.547064760851,846.547064760851,5535.11542343633,325.595024908019,4135.05681633185,716.309054797643,1172.14208966887,3288.509751571,2637.31970175496,3907.14029889623,NA,NA,NA,NA,NA,NA,NA,2637.31970175496,911.666069742454,390.714029889623,3093.15273662618,3255.95024908019,2930.35522417217,260.476019926416
