"pattern","corr_with_stim"
"Pattern2",0.748490881287624
"Pattern7",0.368083549392859
"Pattern6",0.00274550609707335
"Pattern1",-0.0226349580390985
"Pattern3",-0.105254632152381
"Pattern5",-0.126081003136191
"Pattern4",-0.261199685895004
