"pattern","rank","gene","weight"
"Pattern3",37,"LGALS1",0.0991496667265892
"Pattern3",38,"DUSP2",0.098136268556118
"Pattern3",39,"YPEL5",0.0972518846392632
"Pattern3",40,"CARD16",0.0960146188735962
"Pattern3",41,"DYNLT1",0.0936022624373436
"Pattern3",42,"DDIT4",0.0900890678167343
"Pattern3",43,"GZMH",0.0890539288520813
"Pattern3",44,"KLF6",0.0884334072470665
"Pattern3",45,"ITM2A",0.0870640501379967
"Pattern3",46,"NFKBIA",0.0848643705248833
"Pattern3",47,"LSP1",0.0847747400403023
"Pattern3",48,"ATP6V0B",0.0783884152770042
"Pattern3",49,"HLA-DPB1",0.0766629278659821
"Pattern3",50,"TSC22D3",0.0748743563890457
"Pattern4",1,"FTH1",6.95365619659424
"Pattern4",2,"TIMP1",6.84803009033203
"Pattern4",3,"FTL",6.14724063873291
"Pattern4",4,"CD63",6.0420560836792
"Pattern4",5,"S100A10",5.97561359405518
"Pattern4",6,"ACTB",5.85676717758179
"Pattern4",7,"S100A11",5.54744577407837
"Pattern4",8,"PFN1",5.35094165802002
"Pattern4",9,"C15orf48",5.34280252456665
"Pattern4",10,"VIM",5.31218767166138
"Pattern4",11,"LGALS1",5.23402452468872
"Pattern4",12,"S100A6",5.20331430435181
"Pattern4",13,"TYROBP",5.18531322479248
"Pattern4",14,"FCER1G",5.04347705841064
"Pattern4",15,"GAPDH",4.96210813522339
"Pattern4",16,"EMP3",4.76731204986572
"Pattern4",17,"ANXA5",4.62958097457886
"Pattern4",18,"LGALS3",4.29170751571655
"Pattern4",19,"ANXA2",4.03556871414185
"Pattern4",20,"SH3BGRL3",3.82182955741882
"Pattern4",21,"S100A4",3.77826285362244
"Pattern4",22,"ATP6V1F",3.36214470863342
"Pattern4",23,"PSAP",3.34350228309631
"Pattern4",24,"NPC2",3.11309695243835
"Pattern4",25,"SOD2",3.09353709220886
"Pattern4",26,"TYMP",3.03747320175171
"Pattern4",27,"ATP6V0B",2.84326934814453
"Pattern4",28,"HLA-DRA",2.84125542640686
"Pattern4",29,"GPX1",2.78667545318604
"Pattern4",30,"RAC1",2.72111868858337
"Pattern4",31,"PKM",2.67118000984192
"Pattern4",32,"SAT1",2.65497374534607
"Pattern4",33,"SDCBP",2.6316397190094
"Pattern4",34,"GSTO1",2.53059673309326
"Pattern4",35,"CLIC1",2.51825928688049
"Pattern4",36,"CTSB",2.47081780433655
"Pattern4",37,"MARCKSL1",2.43088960647583
"Pattern4",38,"ACTG1",2.31144571304321
"Pattern4",39,"IL8",2.27939438819885
"Pattern4",40,"GPX4",2.09564733505249
"Pattern4",41,"CSTB",2.08734393119812
"Pattern4",42,"LYZ",2.06683158874512
"Pattern4",43,"CST3",1.93090510368347
"Pattern4",44,"S100A8",1.92962729930878
"Pattern4",45,"PLAUR",1.9222104549408
"Pattern4",46,"NFKBIA",1.82428383827209
"Pattern4",47,"SPI1",1.68154168128967
"Pattern4",48,"S100A9",1.67535185813904
